"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"02/07/2022","1240599","1118791","399486"
"02/08/2022","1246890","1122657","403209"
"02/09/2022","1180422","1071762","370593"
"02/10/2022","1247961","1136609","387955"
"02/11/2022","1192033","1083621","378666"
"02/12/2022","1043677","945042","327612"
"02/13/2022","1050689","952099","318154"
"02/14/2022","1123342","1017317","343936"
"02/15/2022","1272973","1157623","404059"
"02/16/2022","1267920","1155227","418627"
"02/17/2022","1199340","1091400","392717"
"02/18/2022","1154979","1050483","366663"
"02/19/2022","1038025","936460","335669"
"02/20/2022","1050578","949434","328884"
"02/21/2022","1139557","1022832","363363"
"02/22/2022","1258896","1144966","387215"
"02/23/2022","1247032","1132268","390235"
"02/24/2022","1114225","987988","369864"
"02/25/2022","1116772","1010274","354294"
"02/26/2022","989849","891485","310460"
"02/27/2022","959026","856959","302773"
"02/28/2022","1071099","965698","342467"
"03/01/2022","1178066","1061226","369273"
"03/02/2022","1151411","1045918","361965"
"03/03/2022","1141263","1040359","345010"
"03/04/2022","1140756","1043404","337827"
"03/05/2022","1048034","949405","317297"
"03/06/2022","988879","892986","303210"
"03/07/2022","1064230","959180","334186"
"03/08/2022","1025833","927137","318448"
"03/09/2022","1107739","1002185","343701"
"03/10/2022","1074995","977308","332369"
"03/11/2022","998585","903819","320364"
"03/12/2022","969373","875125","301410"
"03/13/2022","973748","873979","306484"
"03/14/2022","1105350","1001728","340686"
"03/15/2022","1095885","990975","347045"
"03/16/2022","1138600","1033794","343026"
"03/17/2022","1125710","1015548","352441"
"03/18/2022","1069413","965967","338558"
"03/19/2022","1121515","1012679","346680"
"03/20/2022","1023293","918577","334969"
"03/21/2022","1211401","1097808","371781"
"03/22/2022","1215741","1101478","381073"
"03/23/2022","1211830","1099093","366141"
"03/24/2022","1233995","1117521","378144"
"03/25/2022","1134035","1023069","365296"
"03/26/2022","1068186","959503","337632"
"03/27/2022","1106543","998110","343429"
"03/28/2022","1262784","1138263","395031"
"03/29/2022","1240119","1123744","407589"
"03/30/2022","1337726","1221127","395342"
"03/31/2022","1313576","1192157","414970"
"04/01/2022","1228166","1115971","385728"
"04/02/2022","1208974","1095581","384372"
"04/03/2022","1149385","1042046","369406"
"04/04/2022","1255301","1140732","413060"
"04/05/2022","1318285","1192455","426314"
"04/06/2022","1229185","1100448","393409"
"04/07/2022","1156079","1046124","352520"
"04/08/2022","1094657","991922","340011"
"04/09/2022","985060","882617","304484"
"04/10/2022","1002701","905032","309819"
"04/11/2022","1102198","989855","348750"
"04/12/2022","1191457","1078039","357416"
"04/13/2022","1167319","1057443","338791"
